Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Imran Khan, Deepika Padukone, Shahana Goswami, Lillete Dubey, Sharmila Tagore, Navin Nischol, Parzan Dastur, Neelu Kohli, Ziyah Vastani, Yudhishtir Urs, Grady McGahan",India,19-11-2020,Childhood friends Abhay and Aaliya experience plenty of obstacles in their paths as they find their way in the world and back to each other.,Danish Aslam,108 min,"Comedies, International Movies, Music & Musicals",TV-14,2010,s1676,Break Ke Baad,Movie
"Ahmed Helmy, Zeina, Shery Adel, Emy Samir Ghanim, Yousef Fawzy, Yasser El Tobgy, Wael Sami, Maryam Saleh",Egypt,20-06-2019,A man suffering from amnesia can't seem to choose between the women playing tricks on him.,Khaled Marei,112 min,"Comedies, International Movies, Romantic Movies",TV-14,2010,s6291,Bewildered Bolbol,Movie
"Himesh Reshammiya, Sara Loren, Amrita Singh, Gulshan Grover, Javed Sheikh, Adnan Shah, Natasha Sinha, Gaurav Chanana, Anupam Shyam",India,22-10-2017,"A popular singer on the run poses as a bartender and falls in love with a prostitute, but their love is threatened by a violent incident in his past.",Pooja Bhatt,113 min,"Dramas, International Movies, Music & Musicals",TV-14,2010,s7166,Kajraare,Movie
"John Abraham, Sonal Sehgal, Prateeksha Lonkar, Girish Karnad, Farida Jalal, Ashwin Chitale, Anaitha Nair, Vikram Inamdar, Vipin Bhali, Poonam Chitale, Nagesh Kukunoor",India,22-10-2017,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancÃ©e, snubs doctors and checks into a nursing home to die.",Nagesh Kukunoor,115 min,"Dramas, International Movies",TV-14,2010,s6075,Aashayein,Movie
"Kajol, Kareena Kapoor, Arjun Rampal, Nominath Ginsberg, Iravati Harshe, Aachal Munjal, Diya Sonecha","India, Australia",01-10-2018,A divorced mother of three children runs a happy household â€“ until her former husband brings his new career-oriented girlfriend into the picture.,Sidharth Malhotra,119 min,"Dramas, International Movies",TV-14,2010,s4614,We Are Family,Movie
"Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah, Parikshat Sahni, Vikas Bhalla, Kurush Deboo, Zain Khan",India,01-11-2018,"Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame.",Ken Ghosh,121 min,"Comedies, Dramas, International Movies",TV-14,2010,s4428,Chance Pe Dance,Movie
"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna",India,02-08-2018,"After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.",Sanjay Leela Bhansali,121 min,"Dramas, International Movies",TV-14,2010,s4725,Guzaarish,Movie
"Ahmed El Sakka, Khaled El Nabawy, Mai Selim, Nedal El Shafey, Boris Abramov, Selami Åžahin",Egypt,25-04-2020,"Separated by distance and circumstance, two bitter rivals cross paths when the perils of the drug trade unexpectedly unite them.",Ahmed Saleh,124 min,"Action & Adventure, International Movies",TV-14,2010,s2636,The Dealer,Movie
"Bhargavi Chirmuley, Mahesh Kothare, Sachin, Ashok Saraf, Nirmiti Sawant",India,01-01-2018,"After an actor is hit by a car driven by the police commissioner's sister, his scheming brother-in-law files a bogus suit against the commissioner.",Sachin,124 min,"Comedies, International Movies, Romantic Movies",TV-14,2010,s7054,Ideachi Kalpana,Movie
"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz","India, Pakistan",30-01-2019,A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.,Pankaj Batra,127 min,"Dramas, International Movies, Music & Musicals",TV-14,2010,s4152,Virsa,Movie
"Nana Patekar, Dimple Kapadia, Sunil Shetty, Vidya Malvade, Rehan Khan, Anjana Sukhani, Mohnish Bahl, Vrajesh Hirjee",India,01-07-2018,An astute but old-fashioned law clerk steps up to help the owner of a cafe in a legal battle that has both business and personal ramifications.,Kabir Sadanand,128 min,"Comedies, Dramas, International Movies",TV-14,2010,s4801,Tum Milo Toh Sahi,Movie
"Imran Khan, Sonam Kapoor, Sammir Dattani, Samir Soni, Kavin Dave, Bruna Abdullah",India,02-08-2018,This Bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental.,Punit Malhotra,128 min,"Comedies, International Movies, Music & Musicals",TV-14,2010,s4728,I Hate Luv Storys,Movie
"Irrfan Khan, Mahie Gill, Rajendra Gupta, Brijendra Kala, Jahangir Khan, Vipin Sharma, Zakir Hussain",India,01-11-2018,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.,Tigmanshu Dhulia,129 min,"Action & Adventure, Dramas, International Movies",TV-14,2010,s4456,Paan Singh Tomar,Movie
Nagesh Bhonsle,India,15-03-2018,"After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match.",Aatmaram Dharne,129 min,"Comedies, Dramas, International Movies",TV-14,2010,s6440,Chal Dhar Pakad,Movie
"Sanjay Narvekar, Bharat Jadhav, Satish Phulekar, Ashwini Apte",India,01-01-2018,A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.,Uttung Shelar,133 min,"Comedies, Dramas, International Movies",TV-14,2010,s6076,Aata Pita,Movie
"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Vivan Bhatena, Vipin Sharma, Yatin Karyekar, Shefali Shah",India,15-12-2019,"Unlucky in love and bullied at work, an office drone is resigned to his dead-end life until itâ€™s transformed by mysterious calls from â€¦ himself.",Vijay Lalwani,135 min,"Dramas, International Movies, Thrillers",TV-14,2010,s3142,Karthik Calling Karthik,Movie
"Paresh Rawal, Om Puri, Pavan Malhotra, Javed Sheikh, Swati Chitnis, Masood Akhtar, Sudhir Nema, Rakesh Srivastava",India,31-12-2019,"As communal violence erupts in his neighborhood, a Muslim mechanic presses forward to repair a historic truck that will transport Gandhiâ€™s last remains.",Amit Rai,136 min,"Dramas, Independent Movies, International Movies",TV-14,2010,s7875,Road to Sangam,Movie
"Smita Jaykar, Siddarth Jadhav",India,15-03-2018,"Bored in their happy marriage, a couple decides to spice things up by fighting more, but their game takes the relationship on an unexpected path.",Kedar Shinde,137 min,"Comedies, Dramas, International Movies",TV-14,2010,s7096,Irada Pakka,Movie
"Makarand Anaspure, Madhura Velankar, Subodh Bhave",India,15-03-2018,The son of an astrologer faces opposition from his superstitious father regarding his scheme of launching a mango business.,,138 min,"Comedies, Dramas, International Movies",TV-14,2010,s6908,Haapus,Movie
"Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah",India,02-08-2018,"When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.",Prakash Jha,162 min,"Dramas, International Movies, Thrillers",TV-14,2010,s4732,Raajneeti,Movie
,United Kingdom,15-08-2016,"In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs.",,46 min,Documentaries,TV-14,2010,s5815,Real Crime: Supermarket Heist (Tesco Bomber),Movie
,United States,15-05-2017,A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headline-making story of survival.,Alina Teodorescu,51 min,Movies,TV-14,2010,s5485,Natascha Kampusch: The Whole Story,Movie
Stuart Varnam-Atkin,"Japan, United States",31-12-2017,"This documentary reenacts the experiences of late activist Tsutomu Yamaguchi, a survivor of both atomic bombings on Japan in 1945.",Hidetaka Inazuka,53 min,"Documentaries, International Movies",TV-14,2010,s8644,Twice,Movie
"Gurpreet Guggi, Rocky Bhardwaj, Brijesh Ahuja, Gick Grewal, Inderjit Grewal, Lekhraj Thakur",,30-01-2019,"The tale of legendary warrior king Ranjit Singh, and his rise to establishing Punjabâ€™s Sikh empire, comes to life in this animated feature.",Amarjit Virdi,56 min,"Dramas, International Movies",TV-14,2010,s4151,Maharaja: The Story of Ranjit Singh,Movie
"Salli Richardson-Whitfield, Michole Briana White, Omari Hardwick, Tracie Thoms, Dijon Talton, Damone Roberts, Blair Underwood, Beverly Todd",United States,20-05-2020,"Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.",Ava DuVernay,80 min,"Dramas, Independent Movies, Romantic Movies",TV-14,2010,s2498,I Will Follow,Movie
"Rick D. Wasserman, Lisa Ann Beley, Mark Hildreth, Liam O'Brien, Kevin Michael Richardson, Sam Vincent, Advah Soudack, Michael Kopsa, Paul Dobson, Marc Worden",United States,01-06-2020,"When Earth's superheroes exile the volatile Incredible Hulk to a distant planet called Sakaar, the muscle-bound green monster is sold into slavery.",Sam Liu,81 min,"Action & Adventure, Sci-Fi & Fantasy",TV-14,2010,s7750,Planet Hulk,Movie
"Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, KentarÃ´ ItÃ´, Yuki Matsuoka, Ryotaro Okiayu, Romi Park",Japan,15-10-2016,"When a group of vicious Sinners plots to escape from this eternal prison in Hell, they discover that Substitute Soul Reaper Ichigo is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister.",Noriyuki Abe,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",TV-14,2010,s5750,Bleach the Movie: Hell Verse,Movie
"Mohamed Ragab, Lamitta Frangieh, Mohsen Mansour, Rania Mallah, Madlyn Tabar, Mimi Gamal, Ahmed Rateb, Ahmed Zaher",,20-06-2019,"Determined to fight corruption in his country, a newspaper cartoonist debuts a new take-no-prisoners attitude.",Mohamed Hamdy,96 min,"Comedies, Dramas, International Movies",TV-14,2010,s8586,Three-Quarters Decent,Movie
"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Sameer Kochhar, Ayaz Khan, Amruta Patki, Pavail Gulati, Prashant, Amol Mhatre",India,01-03-2018,"Years after an accident at a wild Christmas party traumatized them all, six former friends find themselves trapped in a shopping mall and forced by a killer disguised as Santa Claus to play a lethal game of hide-and-seek.",Shawn Arranha,96 min,"Horror Movies, International Movies, Thrillers",TV-14,2010,s6967,Hide & Seek,Movie
"Prateik, Kalki Koechlin, Arjun Mathur, Shruti Seth, Makrand Deshpande, Divya Dutta, Rajendranath Zutshi, Amin Hajee, Karim Hajee, Shakeel Khan",India,01-10-2018,A bright-eyed villager comes face-to-face with the gritty realities of modern-day Mumbai when he sets out to find his childhood friend.,Raaghav Dar,100 min,"Comedies, International Movies, Sci-Fi & Fantasy",TV-14,2011,s4589,My Friend Pinto,Movie
"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,01-09-2017,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Masahiko Murata,102 min,"Action & Adventure, Anime Features, International Movies",TV-14,2011,s7560,Naruto Shippuden : Blood Prison,Movie
"Surya Saputra, Cut Mini Theo, Tora Sudiro",Indonesia,15-09-2018,"A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths.",Nia Dinata,113 min,"Comedies, Dramas, International Movies",TV-14,2011,s6185,Arisan 2,Movie
"Madhavan, Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal, Swara Bhaskar, Eijaz Khan, K.K. Raina, Rajendra Gupta, Ravi Kishan, Navni Parihar",India,05-07-2020,"When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams â€“ only to discover she loves another man.",Aanand Rai,114 min,"Comedies, Dramas, International Movies",TV-14,2011,s2291,Tanu Weds Manu,Movie
"Khaled Saleh, Ghada Adel, Ahmed el-Sakka, Khaled Sarhan, Sawsan Badr, Mustafa Haridi",Egypt,25-04-2019,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,Amr Arafa,114 min,"Comedies, International Movies, Thrillers",TV-14,2011,s8256,The Consul's Son,Movie
"NurgÃ¼l YeÅŸilÃ§ay, Celile Toyon Uysal, Deniz Deha Lostar, Settar TanrÄ±Ã¶ÄŸen, Suzan Aksoy, HÃ¼seyin Avni Danyal, JÃ¼lide Kural, RagÄ±p SavaÅŸ",Turkey,28-04-2020,"A matriarch and her grandson forge a special bond during family picnics every two months, until her health causes a conflict among the relatives.",Handan Ä°pekÃ§i,115 min,"Comedies, Dramas, International Movies",TV-14,2011,s2616,Cinar Agaci,Movie
"Bharat Jadhav, Ankush Chaudhari, Siddarth Jadhav, Santosh Juvekar, Vaibhav Mangale, Kranti Redkar, Manava Naik",India,01-01-2018,"At large in the city, five inmates of a mental asylum run up against the insanity of the outside world while trying to prevent a terrorist plot.",Sudesh Manjrekar,115 min,"Comedies, International Movies",TV-14,2011,s7993,Shahanpan Dega Deva,Movie
"Amitabh Bachchan, Hema Malini, Raveena Tandon, Sonu Sood, Sonal Chauhan, Charmy Kaur, Prakash Raj, Makrand Deshpande, Subbaraju, Shawar Ali, Rajeev Verma",India,05-07-2020,"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job.",Puri Jagannadh,116 min,"Action & Adventure, Comedies, Dramas",TV-14,2011,s2266,Bbuddah Hoga Terra Baap,Movie
"Santosh Juvekar, Chinmay Mandlekar, Pari Telang, S. Joshi, Dilip Prabhavalkar, Ganesh Yadav, Pushkar Shrotri",India,15-02-2018,Two communities in Mumbai get a final chance to compete with each other in the celebration of the iconic Ganesh Chaturthi festival.,Avadhoot Gupte,121 min,"Dramas, International Movies",TV-14,2011,s7513,Morya,Movie
"Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong",01-12-2018,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",Andrew Lau Wai-Keung,122 min,"Dramas, International Movies, Romantic Movies",TV-14,2011,s4330,A Beautiful Life,Movie
"Ghadah Abdulrazeq, Wafaa Amer, Hassan El Raddad, Houria Farghally, Sabry Fawwaz",Egypt,26-04-2019,"To fulfill her husbandâ€™s dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn.",Khaled Youssef,125 min,"Dramas, International Movies",TV-14,2011,s6132,Amar's Hands,Movie
"Tony Leung Chiu Wai, Lau Ching Wan, Zhou Xun, Wu Gang, Ni Yan, Paul Chun, Kenya Sawada, Lam Suet","Hong Kong, China",11-05-2019,"In 1920s Beijing, a host of talented performers gather to show off their skills. The challenge: reproduce a magic trick called the Eight Immortals.",Yee Tung-Shing,128 min,"Action & Adventure, Comedies, Dramas",TV-14,2011,s3835,The Great Magician,Movie
"Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",India,19-11-2020,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him.",Siddique,130 min,"Action & Adventure, Comedies, International Movies",TV-14,2011,s1675,Bodyguard,Movie
"Akshay Kumar, Bobby Deol, Sonam Kapoor, Irrfan Khan, Sunil Shetty, Rimi Sen, Celina Jaitly",India,02-08-2018,Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective â€“ who falls for one of the wives.,Anees Bazmee,131 min,"Comedies, International Movies, Romantic Movies",TV-14,2011,s4737,Thank You,Movie
"Harbhajan Mann, Tulip Joshi, Kabir Bedi, Gulzar Chahal, Jonita, Gurpreet Ghuggi, Gurpreet Grewal, Neena Cheema, Sunita Dhir",India,01-11-2017,The patriarch of a wealthy family with one industrious son and one who's a playboy arranges for the marriage of one to the woman the other loves.,Ksshitij Chaudhary,132 min,"Dramas, International Movies, Music & Musicals",TV-14,2011,s8772,Yaara O Dildaara,Movie
"Prasanna, Cheran, Haripriya, Nikhita, Suma Bhattacharya, Jayaprakash",India,01-10-2018,"When jingle composer Nanda's car breaks down on his way to Chennai, he hitchhikes there with Arjun, who tries to rope Nanda into a shady deal.",Rajan Madhav,134 min,"Action & Adventure, International Movies",TV-14,2011,s4588,Muran,Movie
"Ahmed Helmy, Donia Samir Ghanim, Ibrahim Nasr, Yasmin Raeis, Saeed Tarabeek",Egypt,02-06-2020,"After he is rejected by the woman he loves and obesity-related issues kill his uncle, a lonely, overweight artist undergoes a major transformation.",Sherif Arafa,135 min,"Comedies, International Movies, Romantic Movies",TV-14,2011,s2443,X Large,Movie
"Abhishek Bachchan, Kangana Ranaut, Anupam Kher, Boman Irani, Jimmy Shergill, Shahana Goswami, Gauhar Khan, Sarah-Jane Dias",India,15-12-2019,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit.",Abhinay Deo,135 min,"International Movies, Thrillers",TV-14,2011,s3137,Game,Movie
"Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni, Sachin Khedekar, Sudhanshu Pandey, Anant Jog",India,19-11-2020,A police inspector kills himself after a powerful gangster frames him for corruption â€“ but soon the thug faces the full force of cop Bajirao Singham.,Rohit Shetty,142 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,s1680,Singham,Movie
"Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor, Om Puri, Alyy Khan, Nawab Shah","India, Germany",15-12-2019,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way.",Farhan Akhtar,148 min,"Action & Adventure, International Movies, Music & Musicals",TV-14,2011,s3135,Don 2,Movie
"Kartik Aaryan, Divyendu Sharma, Raayo S. Bakhirta, Nushrat Bharucha, Sonalli Sehgall, Ishita Raj",India,01-05-2017,Matters of the heart introduce chaos into the once-idyllic bachelor existence of three young men who share an apartment.,Luv Ranjan,149 min,"Comedies, Dramas, International Movies",TV-14,2011,s7806,Pyaar Ka Punchnama,Movie
"Sachin Khedekar, Bharat Jadhav, Aniket Vishwasrao, Siddarth Jadhav, Sanjay Narvekar, Vaibhav Mangale, Santosh Juvekar, Sanjay Khapre, Mahesh Manjrekar",India,15-02-2018,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician.",Sanjay Jadhav,150 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,s6734,Fakta Ladh Mhana,Movie
"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin, Deepti Naval, Naseeruddin Shah, Ariadna Cabrol",India,15-12-2019,Three friends on an adventurous road trip/bachelor party in Spain learn some lessons about themselves and each other that will change them forever.,Zoya Akhtar,154 min,"Comedies, Dramas, International Movies",TV-14,2011,s3150,Zindagi Na Milegi Dobara,Movie
"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",India,31-12-2019,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,Prakash Jha,164 min,"Dramas, International Movies",TV-14,2011,s6074,Aarakshan,Movie
"Shun Oguri, Mirai Moriyama, Taichi Saotome, Eiko Koike, Ryo Katsuji, Riisa Naka, Shoko Takada, Makoto Awane, Masato Kono, Tetsuya Chiba",,01-03-2021,"In this cinematic distillation of the electrifying stage performance, seven spirited souls take on the dark threat growing in shadowy Skull Castle.",Hidenori Inoue,177 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,s1256,Seven Souls in the Skull Castle 2011,Movie
Tom Papa,United States,31-12-2018,"Comedian Tom Papa riffs on the trials of married life, fatherhood in the 21st century, domestic pets and more in his stand-up show.",Rob Zombie,57 min,Stand-Up Comedy,TV-14,2011,s4250,Tom Papa Live in New York City,Movie
,United Kingdom,31-05-2017,"A filmmaker trains the camera on her own family as she examines the impact her grandfather, troubled artist Arshile Gorky, had on three generations.",Cosima Spender,80 min,Documentaries,TV-14,2011,s5468,Without Gorky,Movie
"Kinda Allouch, Ahmed Salah Al-Saadany, Dina Fouad, Amr Youssef, Ahmed Safwat, Madlyn Tabar, Yasser Ali Maher, Nadia Fahmi, Menha Zaytoon, Tamim Abdou, Mostafa Abd Elsalam",Egypt,20-06-2019,A young woman discovers that familial and psychological traumas can be difficult to leave behind.,Sherif Mandour,83 min,"International Movies, Thrillers",TV-14,2011,s8664,Unruly Friends,Movie
"Edward Kagutuzi, Genevieve Nnaji, Osita Iheme, Fatima Jabbe, Victor Carvalho, Felix Ceesay, John Charles Njie, Momodu Musa Ceesay","United Kingdom, Nigeria",30-06-2020,"A young boy is taken to his mother's birth home in Africa, where a mystical adventure in an ominous forest turns into a journey of self-discovery.",Obi Emelonye,86 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,s2324,The Mirror Boy,Movie
"Yudhveer Bakoliya, Ashok Banthia, Ravi Khanwilkar, Vijay Kashyap, Ila Arun, Sachin Khedekar, Rajeshwari Sachdev, Hemanth Mahaur",India,01-11-2018,This animated retelling of the classic Indian tale of Prince Arjun â€“ part of the Sanskrit epic Mahabharata â€“ begins during the prince's youth.,Arnab Chaudhuri,91 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,s4425,Arjun: The Warrior Prince,Movie
"Hani Salama, Basma Ahmad, Rania Yousef, Kinda Allouch, Yasmin Raeis, Amr Youssef, Zizi El-Badrawy",Egypt,13-06-2019,"Under pressure to marry, a rich playboy is conflicted between four women who each possess a different quality he desires in his ideal wife.",Hadi El Bagoury,93 min,"Dramas, International Movies, Romantic Movies",TV-14,2011,s8486,The Right One,Movie
"Menna Shalaby, Sherif Salama, Yousra El Lozy, Mona Hala, Edward Fouad, Lotfy Labib, Ashraf Hamdy",Egypt,25-04-2019,"Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance.",Ahmad Samir Farag,97 min,"Comedies, International Movies, Romantic Movies",TV-14,2011,s7352,Love Station,Movie
"Mahmoud Abdel Moghny, Amr Youssef, Horeya Farghaly, Mahmoud El Gendy, Entessar, Donia El Masry, Sabry Abdel Moniem, Raouf Mustafa, Alaa Zenhom",Egypt,20-06-2019,"When a series of seemingly random people are murdered, baffled police search for a killer who may have a connection to them all.",Husam El-Gohari,99 min,"Dramas, International Movies",TV-14,2011,s7837,Reaction,Movie
"Saad El Soghayar, Amar, Mohamed Ramadan, Kareem Mahmoud Abdel Aziz, Ayten Amer, Aminaa Alfakharani, Genna Amr, Lotfy Labib, Mahmoud Ellithy",,03-05-2019,"When a beautiful belly-dancer moves into their apartment building, a group of unhappily married men strives to get her attention.",Ismail Farouk,101 min,"Comedies, International Movies, Music & Musicals",TV-14,2012,s7105,It's Fine,Movie
"Tolga Ã‡evik, KÃ¶ksal EngÃ¼r, Pelin KÃ¶rmÃ¼kÃ§Ã¼, Toprak Sergen, Zeynep Ã–zder",Turkey,10-03-2017,"Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another.",Ozan AÃ§Ä±ktan,102 min,"Comedies, International Movies",TV-14,2012,s7981,Sen Kimsin?,Movie
"Angel Locsin, Angelica Panganiban, Dingdong Dantes, Zanjoe Marudo, Miguel Vergara, Gina PareÃ±o, Carmina Villarroel, Agot Isidro",Philippines,05-11-2020,"When her son's condition becomes severe, a woman reconnects with the biological father. But the reunion puts a strain on their respective relationships.",Ruel S. Bayani,102 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,s1736,One More Try,Movie
"Jackie Shroff, Aditya Pancholi, Swarangi Maharte, Ameya Hunaswadkar, Urmila Matondkar",India,01-01-2018,A schoolteacher known for his good deeds and benevolence takes a walk on the dark side after undergoing a heart transplant.,Amar Gupte,103 min,"Dramas, International Movies",TV-14,2012,s7021,Hridaynath,Movie
"Ai-Ai de las Alas, Vice Ganda, Kris Aquino, Xyriel Manabat, Daniel Padilla, Kathryn Bernardo, Tirso Cruz III, Deejay Durano, Gloria Diaz, Jeffrey Quizon",Philippines,07-03-2019,"Two half siblings separated by family conflict cross paths as adults at a fashion agency â€“ but one of them has a vendetta, unbeknownst to the other.",Wenn V. Deramas,105 min,"Comedies, International Movies",TV-14,2012,s4039,Sisterakas,Movie
"Karim Abdel Aziz, Dina Fouad, Mohamed Lotfy, Ahmed Rateb, Rasha Amin, Youssef Eid, Mostafa Abbas, Maged El Kedwany, Sabri Abdulmonem, Abdalah Mishrif",Egypt,28-04-2020,"While fighting a child custody battle against his father-in-law, a taxi driver loses his memory when his son is kidnapped.",Ahmed Nader Galal,106 min,"Action & Adventure, Comedies, International Movies",TV-14,2012,s2624,We'll Be Right Back After The Break,Movie
"Kareena Kapoor, Imran Khan, Boman Irani, Ram Kapoor, Ratna Pathak Shah, Zenobia Shroff, Soniya Mehra, Akshat Verma, Dana Lewis, Rajesh Khattar",India,01-10-2018,Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.,Shakun Batra,106 min,"Comedies, International Movies, Romantic Movies",TV-14,2012,s4566,Ek Main Aur Ekk Tu,Movie
"Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin, Supriya Pathak, Tillotama Shome, Anant Jog, Pitobash, Farooq Shaikh, Arvind Goswami",India,01-03-2018,Three disparate characters uncover government corruption as a small Indian town receives an influx of foreign money to turn it into the next Shanghai.,Dibakar Banerjee,109 min,"Dramas, Independent Movies, International Movies",TV-14,2012,s7996,Shanghai,Movie
"Manish Chaudhary, Kunal Kemmu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",India,05-07-2020,"Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.",Vishal Mahadkar,110 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,s2267,Blood Money,Movie
"Wale Ojo, Nse Ikpe-Etim, Lydia Forson, Joke Silva, Chika Okpala, Ada Ameh, Hafeez Oyetoro, Chika Chukwu",Nigeria,01-09-2019,A fashion designer and an arrogant businessman reluctantly try to help each other after accidentally swapping phones in the airport.,Kunle Afolayan,112 min,"Comedies, International Movies, Romantic Movies",TV-14,2012,s7739,Phone Swap,Movie
"Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta",India,22-11-2016,A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.,Qaushiq Mukherjee,113 min,"Dramas, Independent Movies, International Movies",TV-14,2012,s5711,The Land of Cards,Movie
"Pulkit Samrat, Ashok Pathak, Tanvir Singh, Amita Pathak, Sunil Shetty, Rajendra Sethi, Mohan Kapoor",India,05-07-2020,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos â€“ with mixed results.",Supavitra Babul,117 min,"Comedies, Dramas, International Movies",TV-14,2012,s6321,Bittoo Boss,Movie
"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",05-09-2018,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash â€“ and the loser must find a new job.",Mez Tharatorn,122 min,"Comedies, International Movies, Romantic Movies",TV-14,2012,s6194,ATM,Movie
